flight,flight_type,item,category,mass_t,divisible,unit_id,flight_total_mass_t,flight_capacity_t,flight_remaining_capacity_t
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 1/6,12.6,15.0,2.4000000000000004
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 2/6,12.6,15.0,2.4000000000000004
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 3/6,12.6,15.0,2.4000000000000004
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 4/6,12.6,15.0,2.4000000000000004
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 5/6,12.6,15.0,2.4000000000000004
Crew-1,crew,EVA suit package,EVA/tools,0.35,False,EVA suit package 6/6,12.6,15.0,2.4000000000000004
Crew-1,crew,"Compute, control, and timing rack",Comms/navigation,1.5,False,"Compute, control, and timing rack 1/3",12.6,15.0,2.4000000000000004
Crew-1,crew,"Compute, control, and timing rack",Comms/navigation,1.5,False,"Compute, control, and timing rack 2/3",12.6,15.0,2.4000000000000004
Crew-1,crew,"Compute, control, and timing rack",Comms/navigation,1.5,False,"Compute, control, and timing rack 3/3",12.6,15.0,2.4000000000000004
Crew-1,crew,Suit maintenance/charging bench,EVA/tools,1.5,False,Suit maintenance/charging bench 1/2,12.6,15.0,2.4000000000000004
Crew-1,crew,Suit maintenance/charging bench,EVA/tools,1.5,False,Suit maintenance/charging bench 2/2,12.6,15.0,2.4000000000000004
Crew-1,crew,Medical equipment cache,Medical/science,1.5,False,Medical equipment cache 1/2,12.6,15.0,2.4000000000000004
Crew-1,crew,Medical equipment cache,Medical/science,1.5,False,Medical equipment cache 2/2,12.6,15.0,2.4000000000000004
Cargo-1,cargo,Pressurized habitat module,Habitation,28.0,False,Pressurized habitat module 1/2,100.0,100.0,0.0
Cargo-1,cargo,Pressurized habitat module,Habitation,28.0,False,Pressurized habitat module 2/2,100.0,100.0,0.0
Cargo-1,cargo,Radiation storm-shelter kit,Habitation,20.0,False,Radiation storm-shelter kit 1/1,100.0,100.0,0.0
Cargo-1,cargo,Emergency fission power unit,Power,20.0,False,Emergency fission power unit 1/2,100.0,100.0,0.0
Cargo-1,cargo,Atmosphere storage/control skid,Life support,4.0,False,Atmosphere storage/control skid 1/2,100.0,100.0,0.0
Cargo-2,cargo,Emergency fission power unit,Power,20.0,False,Emergency fission power unit 2/2,100.0,100.0,0.0
Cargo-2,cargo,ISRU volatile-processing train,ISRU,18.0,False,ISRU volatile-processing train 1/2,100.0,100.0,0.0
Cargo-2,cargo,ISRU volatile-processing train,ISRU,18.0,False,ISRU volatile-processing train 2/2,100.0,100.0,0.0
Cargo-2,cargo,Battery storage bank,Power,15.0,False,Battery storage bank 1/3,100.0,100.0,0.0
Cargo-2,cargo,Battery storage bank,Power,15.0,False,Battery storage bank 2/3,100.0,100.0,0.0
Cargo-2,cargo,Solar generation wing,Power,12.0,False,Solar generation wing 1/4,100.0,100.0,0.0
Cargo-2,cargo,Design contingency,Contingency,2.0,True,Design contingency parcel 1/3 part 3,100.0,100.0,0.0
Cargo-3,cargo,Battery storage bank,Power,15.0,False,Battery storage bank 3/3,100.0,100.0,0.0
Cargo-3,cargo,Solar generation wing,Power,12.0,False,Solar generation wing 2/4,100.0,100.0,0.0
Cargo-3,cargo,Solar generation wing,Power,12.0,False,Solar generation wing 3/4,100.0,100.0,0.0
Cargo-3,cargo,Solar generation wing,Power,12.0,False,Solar generation wing 4/4,100.0,100.0,0.0
Cargo-3,cargo,Pressurized surface rover,Mobility/deployment,12.0,False,Pressurized surface rover 1/2,100.0,100.0,0.0
Cargo-3,cargo,Pressurized surface rover,Mobility/deployment,12.0,False,Pressurized surface rover 2/2,100.0,100.0,0.0
